P001,Laptop Dell XPS 15,1500.00,4.8,true
P002,iPhone 14 Pro Max,1200.00,4.9,true
P003,Sony Headphones WH-1000XM5,350.00,4.7,true
P004,Laptop Asus ROG Zephyrus G14,1800.00,4.5,true
P005,MacBook Air M2,1100.00,4.9,true
P006,iPad Pro 11-inch,800.00,4.8,true
P007,Logitech MX Master 3S,100.00,4.6,true
P008,Mechanical Keyboard Keychron Q1,170.00,4.4,true
P009,Samsung Galaxy S23 Ultra,1300.00,4.8,true
P010,Apple Watch Series 8,400.00,4.8,true
P011,AirPods Pro Gen 2,250.00,4.9,true
P012,Samsung Galaxy Watch 6,350.00,4.5,true
P013,Sony PlayStation 5,500.00,5.0,true
P014,Nintendo Switch OLED,350.00,4.8,true
P015,Xbox Series X,500.00,4.7,true
P016,GoPro HERO 12 Black,400.00,4.6,true
P017,DJI Mini 3 Pro Drone,750.00,4.9,true
P018,Kindle Paperwhite,140.00,4.8,true
P019,Samsung T7 Portable SSD 1TB,100.00,4.9,true
P020,SanDisk Extreme Pro SDXC 128GB,30.00,4.7,true
P021,Apple Magic Keyboard,150.00,4.5,true
P022,LG UltraGear 27-inch Monitor,300.00,4.6,true
P023,Dell UltraSharp 32 4K Monitor,850.00,4.8,true
P024,Razer DeathAdder V3 Pro,150.00,4.7,true
P025,SteelSeries Arctis Nova Pro,350.00,4.6,true
P026,HyperX QuadCast S Microphone,160.00,4.8,true
P027,Elgato Stream Deck MK.2,150.00,4.9,true
P028,Canon EOS R5 Camera,3800.00,4.8,true
P029,Sony Alpha a7 IV Camera,2500.00,4.9,true
P030,Anker 737 Power Bank,150.00,4.8,true
P031,Belkin MagSafe 3-in-1 Charger,150.00,4.6,true
P032,Apple AirTag (4 Pack),100.00,4.9,true
P033,Samsung Galaxy Buds 2 Pro,230.00,4.5,true
P034,Bose QuietComfort 45,330.00,4.7,true
P035,Asus RT-AX86U WiFi 6 Router,250.00,4.6,true
P036,Google Nest Hub Max,230.00,4.5,true
P037,Amazon Echo Dot (5th Gen),50.00,4.7,true
P038,Philips Hue Starter Kit,200.00,4.6,true
P039,Dyson V15 Detect Vacuum,750.00,4.8,true
P040,iRobot Roomba j7+,800.00,4.6,true
P041,NVIDIA GeForce RTX 4090,1600.00,4.9,true
P042,AMD Ryzen 9 7950X,700.00,4.8,true
P043,Intel Core i9-13900K,600.00,4.8,true
P044,Corsair Vengeance 32GB DDR5,150.00,4.9,true
P045,Samsung 990 Pro NVMe SSD 2TB,200.00,4.9,true
P046,NZXT H5 Flow Case,100.00,4.7,true
P047,Seasonic FOCUS GX-850 Power Supply,150.00,4.8,true
P048,Noctua NH-D15 CPU Cooler,110.00,4.9,true
P049,Oculus Quest 3 VR Headset,500.00,4.7,true
P050,Steam Deck OLED 512GB,550.00,4.7,true
P051,Samsung Watch 8 Classic,364.23,4.9,true
